,Clima
0,Soleado
1,Lluvia
2,Nubosidad
3,Nubosidad
4,Nubosidad
5,Soleado
6,Lluvia
7,Nubosidad
8,Lluvia
9,Lluvia
10,Nubosidad
11,Soleado
12,Lluvia
13,Soleado
14,Nubosidad
15,Nubosidad
16,Nubosidad
17,Nubosidad
18,Nubosidad
19,Nubosidad
20,Nubosidad
21,Nubosidad
22,Soleado
23,Soleado
24,Soleado
25,Soleado
26,Soleado
27,Lluvia
28,Soleado
29,Lluvia
30,Lluvia
31,Soleado
32,Nubosidad
33,Soleado
34,Soleado
35,Soleado
36,Lluvia
37,Nubosidad
38,Nubosidad
39,Lluvia
40,Nubosidad
41,Soleado
42,Lluvia
43,Lluvia
44,Soleado
45,Lluvia
46,Nubosidad
47,Lluvia
48,Soleado
49,Nubosidad
50,Lluvia
51,Soleado
52,Nubosidad
53,Soleado
54,Soleado
55,Nubosidad
56,Soleado
57,Lluvia
58,Soleado
59,Lluvia
60,Nubosidad
61,Lluvia
62,Lluvia
63,Lluvia
64,Lluvia
65,Lluvia
66,Soleado
67,Nubosidad
68,Soleado
69,Soleado
70,Soleado
71,Nubosidad
72,Lluvia
73,Soleado
74,Lluvia
75,Soleado
76,Soleado
77,Nubosidad
78,Lluvia
79,Soleado
80,Lluvia
81,Lluvia
82,Nubosidad
83,Lluvia
84,Soleado
85,Lluvia
86,Soleado
87,Soleado
88,Soleado
89,Lluvia
90,Lluvia
91,Soleado
92,Lluvia
93,Lluvia
94,Lluvia
95,Soleado
96,Lluvia
97,Nubosidad
98,Nubosidad
99,Lluvia
100,Soleado
101,Soleado
102,Lluvia
103,Lluvia
104,Lluvia
105,Nubosidad
106,Nubosidad
107,Soleado
108,Soleado
109,Soleado
110,Soleado
111,Soleado
112,Soleado
113,Nubosidad
114,Soleado
115,Nubosidad
116,Lluvia
117,Soleado
118,Soleado
119,Nubosidad
